win,lose,probability
Minnesota Timberwolves,Milwaukee Bucks,0.5092539346807322
New Orleans Pelicans,New York Knicks,0.5181980598679764
San Antonio Spurs,Portland Trail Blazers,0.7491731573267734
Washington Wizards,Brooklyn Nets,0.8664527724892188
Chicago Bulls,Milwaukee Bucks,0.7450669377480589
Cleveland Cavaliers,Charlotte Hornets,0.6675588678601485
Houston Rockets,New York Knicks,0.6910475321381485
Oklahoma City Thunder,Los Angeles Clippers,0.5845104436936072
Memphis Grizzlies,Sacramento Kings,0.5503960185191005
Utah Jazz,Phoenix Suns,0.8209750840699611
San Antonio Spurs,Atlanta Hawks,0.7078404524139311
Indiana Pacers,Orlando Magic,0.6817204674541825
Toronto Raptors,Los Angeles Lakers,0.9475111548449227
Miami Heat,Detroit Pistons,0.5977006645045259
Portland Trail Blazers,Minnesota Timberwolves,0.7731945804256813
Utah Jazz,Brooklyn Nets,0.8206962119336256
Charlotte Hornets,Chicago Bulls,0.5559066050936727
Cleveland Cavaliers,New Orleans Pelicans,0.8902767774709556
Golden State Warriors,Denver Nuggets,0.9159168341309023
Houston Rockets,Washington Wizards,0.5047951273315806
Los Angeles Clippers,Phoenix Suns,0.9048861291624354
Oklahoma City Thunder,Milwaukee Bucks,0.8459626768603241
Orlando Magic,New York Knicks,0.5401758193620401
Boston Celtics,Utah Jazz,0.6587280132733564
Dallas Mavericks,Washington Wizards,0.505486687820498
Denver Nuggets,Sacramento Kings,0.5165714984319782
Detroit Pistons,Indiana Pacers,0.5005455368412097
Memphis Grizzlies,Los Angeles Lakers,0.8491098257547953
Minnesota Timberwolves,Philadelphia 76ers,0.8409340719190614
Miami Heat,Phoenix Suns,0.8523819343569599
San Antonio Spurs,Toronto Raptors,0.645742932658418
Oklahoma City Thunder,Charlotte Hornets,0.6190309321624421
Cleveland Cavaliers,Chicago Bulls,0.7458426670839476
Golden State Warriors,Portland Trail Blazers,0.792852308312571
Los Angeles Clippers,Memphis Grizzlies,0.7365782681704272
New York Knicks,Milwaukee Bucks,0.5518961589626014
Atlanta Hawks,Orlando Magic,0.6933637737303154
Miami Heat,Sacramento Kings,0.713023505661829
Dallas Mavericks,Phoenix Suns,0.8149760883167249
San Antonio Spurs,Denver Nuggets,0.8765286982885672
Charlotte Hornets,Detroit Pistons,0.5627828473530825
Oklahoma City Thunder,Houston Rockets,0.7297339102462088
Indiana Pacers,Brooklyn Nets,0.8893415218269277
Atlanta Hawks,New Orleans Pelicans,0.7694580358004446
Portland Trail Blazers,Los Angeles Lakers,0.9266555667993207
Toronto Raptors,Utah Jazz,0.7272437428388971
Boston Celtics,Philadelphia 76ers,0.9725513096662016
Cleveland Cavaliers,Brooklyn Nets,0.9412694731066952
Golden State Warriors,Memphis Grizzlies,0.8822568876357397
Miami Heat,Los Angeles Lakers,0.9194930866781397
Milwaukee Bucks,New York Knicks,0.5237356035928035
Houston Rockets,Orlando Magic,0.566478530744796
Los Angeles Clippers,Sacramento Kings,0.7634257890126749
Washington Wizards,Minnesota Timberwolves,0.7345601351878787
Boston Celtics,New Orleans Pelicans,0.8159739465928182
Toronto Raptors,Chicago Bulls,0.664812247020242
Atlanta Hawks,Dallas Mavericks,0.6154524445761096
Indiana Pacers,New York Knicks,0.7481894147757844
Utah Jazz,Minnesota Timberwolves,0.6817660223484019
Oklahoma City Thunder,Denver Nuggets,0.8435313506851485
San Antonio Spurs,Charlotte Hornets,0.7428103625818837
Brooklyn Nets,Philadelphia 76ers,0.8004168828717825
Los Angeles Clippers,Miami Heat,0.5794256390823548
Orlando Magic,Los Angeles Lakers,0.8183690541244457
Utah Jazz,Memphis Grizzlies,0.530307371151773
Washington Wizards,Milwaukee Bucks,0.6661507034270937
Cleveland Cavaliers,Phoenix Suns,0.9245610944574689
Portland Trail Blazers,Detroit Pistons,0.5412766412941531
Golden State Warriors,Sacramento Kings,0.8970240873181439
Toronto Raptors,Houston Rockets,0.7325940014720927
Oklahoma City Thunder,Chicago Bulls,0.6830701565369715
Dallas Mavericks,Minnesota Timberwolves,0.6708509519815093
New York Knicks,New Orleans Pelicans,0.5599821107036721
Atlanta Hawks,Brooklyn Nets,0.8851698925868556
Golden State Warriors,Miami Heat,0.7868656584486812
Charlotte Hornets,Houston Rockets,0.6106205096148672
Portland Trail Blazers,Los Angeles Lakers,0.9167822550539979
Detroit Pistons,Sacramento Kings,0.6412326390440073
San Antonio Spurs,Milwaukee Bucks,0.9135416005076051
Toronto Raptors,Boston Celtics,0.5984327565974217
Cleveland Cavaliers,Utah Jazz,0.7616850609158674
Chicago Bulls,Washington Wizards,0.5168088626043164
Boston Celtics,Washington Wizards,0.6521752204657713
Los Angeles Clippers,Orlando Magic,0.7773966038786394
Houston Rockets,Minnesota Timberwolves,0.6758487751039031
Oklahoma City Thunder,Memphis Grizzlies,0.787613581316485
New York Knicks,Philadelphia 76ers,0.8591416766796609
Cleveland Cavaliers,Portland Trail Blazers,0.7143288961845193
New Orleans Pelicans,Brooklyn Nets,0.6658328566401387
Indiana Pacers,Denver Nuggets,0.6721014045566125
Golden State Warriors,Detroit Pistons,0.8369258903845919
Chicago Bulls,New York Knicks,0.6848002726449521
Dallas Mavericks,Phoenix Suns,0.769046377960415
San Antonio Spurs,Los Angeles Lakers,0.9772119055904892
Atlanta Hawks,Boston Celtics,0.5047663790963541
Houston Rockets,Memphis Grizzlies,0.5635130666158575
Miami Heat,Milwaukee Bucks,0.7617718795217436
Oklahoma City Thunder,Minnesota Timberwolves,0.8585586953791396
Charlotte Hornets,Philadelphia 76ers,0.9553456579336203
Portland Trail Blazers,Orlando Magic,0.6827048435897937
Cleveland Cavaliers,Sacramento Kings,0.8406006051225842
Toronto Raptors,Brooklyn Nets,0.9389208316624443
Detroit Pistons,Utah Jazz,0.5199780041264828
Chicago Bulls,New Orleans Pelicans,0.7512383167562082
Los Angeles Clippers,Los Angeles Lakers,0.9535025266533771
San Antonio Spurs,Phoenix Suns,0.939262084676775
Utah Jazz,Orlando Magic,0.6273330434509697
Washington Wizards,Philadelphia 76ers,0.9538253079677375
Atlanta Hawks,Milwaukee Bucks,0.8021409853216347
Houston Rockets,Brooklyn Nets,0.8166675723649173
Dallas Mavericks,Minnesota Timberwolves,0.7212704979536543
Detroit Pistons,Los Angeles Lakers,0.8914930632951021
Chicago Bulls,Memphis Grizzlies,0.5760830652240425
Oklahoma City Thunder,Sacramento Kings,0.8101485882278843
Toronto Raptors,New York Knicks,0.8503700898229658
Boston Celtics,Charlotte Hornets,0.5397936791381139
Orlando Magic,Denver Nuggets,0.5111725804065204
Golden State Warriors,Cleveland Cavaliers,0.6349577262019922
Indiana Pacers,New Orleans Pelicans,0.762027877329574
Oklahoma City Thunder,Los Angeles Clippers,0.5548893550040122
Milwaukee Bucks,Philadelphia 76ers,0.9044920230012222
Atlanta Hawks,New York Knicks,0.7524718093135614
Utah Jazz,Phoenix Suns,0.7777837784417325
Portland Trail Blazers,Washington Wizards,0.5857596973087009
Toronto Raptors,Brooklyn Nets,0.9226877742202415
Chicago Bulls,Dallas Mavericks,0.580156722506695
Denver Nuggets,Los Angeles Lakers,0.7947004518376325
Miami Heat,Houston Rockets,0.64433898364219
San Antonio Spurs,Minnesota Timberwolves,0.9211847598950252
Boston Celtics,New York Knicks,0.8044675838796317
Charlotte Hornets,Portland Trail Blazers,0.5228577806149628
Atlanta Hawks,Detroit Pistons,0.5684670207558824
Golden State Warriors,Oklahoma City Thunder,0.6824974585417534
Houston Rockets,Milwaukee Bucks,0.6999620643962632
Orlando Magic,New Orleans Pelicans,0.5632751669624608
Toronto Raptors,Philadelphia 76ers,0.9713454545147386
Indiana Pacers,Sacramento Kings,0.6576812836525372
Washington Wizards,Memphis Grizzlies,0.5806177216421227
Cleveland Cavaliers,Phoenix Suns,0.9366483386661046
Los Angeles Clippers,Minnesota Timberwolves,0.848236106792305
Miami Heat,Dallas Mavericks,0.6495290582134834
Washington Wizards,New York Knicks,0.6501278438129541
San Antonio Spurs,Denver Nuggets,0.8947420598303986
Atlanta Hawks,Chicago Bulls,0.6023997139600673
Toronto Raptors,Charlotte Hornets,0.5992482403334112
Dallas Mavericks,Utah Jazz,0.5127382824116945
Golden State Warriors,Houston Rockets,0.8464317698300632
Indiana Pacers,Los Angeles Lakers,0.8982878327942333
Memphis Grizzlies,Sacramento Kings,0.6032831759180673
New Orleans Pelicans,Brooklyn Nets,0.7441931668833531
Orlando Magic,Milwaukee Bucks,0.6234649238191532
Portland Trail Blazers,Philadelphia 76ers,0.9538910083116197
Atlanta Hawks,Philadelphia 76ers,0.970993039646735
Boston Celtics,Portland Trail Blazers,0.5481236476112772
Chicago Bulls,Sacramento Kings,0.6929815861038646
Charlotte Hornets,Brooklyn Nets,0.9095300846442931
San Antonio Spurs,Cleveland Cavaliers,0.5557254122931223
Los Angeles Clippers,Denver Nuggets,0.7749159322899717
Detroit Pistons,Washington Wizards,0.5539487915062135
Houston Rockets,Memphis Grizzlies,0.5235420417842367
Miami Heat,Milwaukee Bucks,0.7967373425349111
New York Knicks,Phoenix Suns,0.6987020727509475
Indiana Pacers,Utah Jazz,0.5379803567976931
Dallas Mavericks,Los Angeles Lakers,0.9047094767246281
Denver Nuggets,Minnesota Timberwolves,0.5450088379373694
Golden State Warriors,Orlando Magic,0.8859193790527553
Toronto Raptors,Phoenix Suns,0.9177674384919179
Los Angeles Clippers,Atlanta Hawks,0.5402225361710797
San Antonio Spurs,Brooklyn Nets,0.952880395088356
Charlotte Hornets,Washington Wizards,0.6287871085261869
Detroit Pistons,Sacramento Kings,0.6870142253094966
Indiana Pacers,New York Knicks,0.7481894147757844
Golden State Warriors,Miami Heat,0.7663788435351222
Houston Rockets,Milwaukee Bucks,0.6535474521398108
Cleveland Cavaliers,New Orleans Pelicans,0.8740439313438376
Oklahoma City Thunder,Utah Jazz,0.7211578853083026
Utah Jazz,Denver Nuggets,0.6163849155029442
Chicago Bulls,Orlando Magic,0.6177418172255619
Los Angeles Clippers,Philadelphia 76ers,0.9653452637115839
Minnesota Timberwolves,Phoenix Suns,0.5873423105054134
San Antonio Spurs,Toronto Raptors,0.6236443307590775
Boston Celtics,Washington Wizards,0.6138841344221173
Boston Celtics,Houston Rockets,0.664802787876034
Miami Heat,Brooklyn Nets,0.8830546367665151
Atlanta Hawks,Chicago Bulls,0.5616105380774528
Golden State Warriors,Charlotte Hornets,0.768355512642953
Cleveland Cavaliers,Sacramento Kings,0.8584456313635975
Dallas Mavericks,New York Knicks,0.6916378772592624
Toronto Raptors,Memphis Grizzlies,0.7464458325715511
Milwaukee Bucks,Philadelphia 76ers,0.9044920230012222
Oklahoma City Thunder,New Orleans Pelicans,0.848832031631265
Portland Trail Blazers,Los Angeles Lakers,0.9266555667993207
Denver Nuggets,Phoenix Suns,0.7226164906977904
Indiana Pacers,Minnesota Timberwolves,0.7321135631411221
Oklahoma City Thunder,Dallas Mavericks,0.7601002338929681
Utah Jazz,Los Angeles Lakers,0.9081270437456399
Atlanta Hawks,Washington Wizards,0.6391769199402668
Boston Celtics,Orlando Magic,0.7478475254690682
Miami Heat,Chicago Bulls,0.5565211991887923
Cleveland Cavaliers,Brooklyn Nets,0.953192543283884
Indiana Pacers,Sacramento Kings,0.7053067260861807
San Antonio Spurs,New Orleans Pelicans,0.8974979341432779
Charlotte Hornets,New York Knicks,0.7481375132518049
Houston Rockets,Philadelphia 76ers,0.926753853691946
Portland Trail Blazers,Memphis Grizzlies,0.6327262638447154
Toronto Raptors,Milwaukee Bucks,0.8556478037257005
Charlotte Hornets,Sacramento Kings,0.749617960475835
Golden State Warriors,Los Angeles Clippers,0.739754884690457
Miami Heat,Detroit Pistons,0.5977006645045259
Boston Celtics,Milwaukee Bucks,0.7761819778993704
Minnesota Timberwolves,Brooklyn Nets,0.7290834860110609
Denver Nuggets,Phoenix Suns,0.6618215115046461
Utah Jazz,Memphis Grizzlies,0.5740739990450685
Atlanta Hawks,New York Knicks,0.7953748270005633
Chicago Bulls,Philadelphia 76ers,0.9602096370307056
Cleveland Cavaliers,Oklahoma City Thunder,0.5548846113659373
Indiana Pacers,Houston Rockets,0.5888699820195752
Washington Wizards,New Orleans Pelicans,0.6710671687820635
Golden State Warriors,Portland Trail Blazers,0.8050853100944967
San Antonio Spurs,Dallas Mavericks,0.8332182134881511
Toronto Raptors,Orlando Magic,0.803800220266436
Boston Celtics,Detroit Pistons,0.619262275927723
Cleveland Cavaliers,Dallas Mavericks,0.7689219891781789
Miami Heat,Brooklyn Nets,0.9104370980873571
Orlando Magic,Minnesota Timberwolves,0.5823348105200863
Sacramento Kings,Philadelphia 76ers,0.8833414528882126
Memphis Grizzlies,Phoenix Suns,0.7399220074964965
Houston Rockets,Sacramento Kings,0.643075960897959
Denver Nuggets,Los Angeles Lakers,0.7947004518376325
Charlotte Hornets,Portland Trail Blazers,0.5402683194808082
San Antonio Spurs,Oklahoma City Thunder,0.6265104329923564
Toronto Raptors,New Orleans Pelicans,0.8596465296240648
Washington Wizards,New York Knicks,0.7057640127776978
Toronto Raptors,Boston Celtics,0.5746225116563323
New York Knicks,Brooklyn Nets,0.6822753016197496
Cleveland Cavaliers,Minnesota Timberwolves,0.896757558656888
Dallas Mavericks,Philadelphia 76ers,0.9507778909262491
Memphis Grizzlies,Denver Nuggets,0.5663556492708031
Detroit Pistons,New Orleans Pelicans,0.7459882164909178
Golden State Warriors,Charlotte Hornets,0.787282927930743
Miami Heat,Atlanta Hawks,0.5114610100542762
Oklahoma City Thunder,Chicago Bulls,0.7146404811537453
Indiana Pacers,Orlando Magic,0.6313729164328197
Los Angeles Clippers,Phoenix Suns,0.8823470534977048
Utah Jazz,Milwaukee Bucks,0.708926867260096
Atlanta Hawks,Houston Rockets,0.6161069929278264
Golden State Warriors,Los Angeles Clippers,0.7178977393729531
San Antonio Spurs,Philadelphia 76ers,0.9886679034059631
Washington Wizards,Los Angeles Lakers,0.9103400966879831
Boston Celtics,Los Angeles Lakers,0.9456973877342487
Indiana Pacers,Brooklyn Nets,0.8537778979447685
Denver Nuggets,Milwaukee Bucks,0.5804662374597047
Detroit Pistons,Minnesota Timberwolves,0.7586812959703236
Chicago Bulls,Houston Rockets,0.5342309749528641
Oklahoma City Thunder,Memphis Grizzlies,0.787613581316485
Toronto Raptors,Orlando Magic,0.7778197091937507
Portland Trail Blazers,Dallas Mavericks,0.5954541500274759
Sacramento Kings,Phoenix Suns,0.7354017263485619
Atlanta Hawks,Orlando Magic,0.73698263234522
Indiana Pacers,Detroit Pistons,0.5401490394838601
Miami Heat,Philadelphia 76ers,0.970028539383817
Memphis Grizzlies,Minnesota Timberwolves,0.6352172680695567
Cleveland Cavaliers,New York Knicks,0.8633955016949446
Milwaukee Bucks,Phoenix Suns,0.6115608876665031
Golden State Warriors,Sacramento Kings,0.8970240873181439
San Antonio Spurs,Denver Nuggets,0.8947420598303986
Charlotte Hornets,Utah Jazz,0.6003348825973762
Washington Wizards,New Orleans Pelicans,0.7210647751502209
Los Angeles Clippers,Boston Celtics,0.5260807247783927
Toronto Raptors,Brooklyn Nets,0.9226877742202415
Oklahoma City Thunder,Portland Trail Blazers,0.6544882877558768
Atlanta Hawks,Utah Jazz,0.6458416124660753
Dallas Mavericks,Denver Nuggets,0.6045281519696615
Detroit Pistons,Philadelphia 76ers,0.9591299261303956
Oklahoma City Thunder,Indiana Pacers,0.6702498096118977
San Antonio Spurs,Memphis Grizzlies,0.8330093453621816
Miami Heat,Minnesota Timberwolves,0.7794576041715116
New Orleans Pelicans,Phoenix Suns,0.6786796037941176
New York Knicks,Los Angeles Lakers,0.8332912118425513
Chicago Bulls,Sacramento Kings,0.6444752164504646
Toronto Raptors,Los Angeles Clippers,0.5544419352319515
Cleveland Cavaliers,Washington Wizards,0.7567831025035383
Charlotte Hornets,Brooklyn Nets,0.9095300846442931
Portland Trail Blazers,Dallas Mavericks,0.6019446617548913
Houston Rockets,Orlando Magic,0.6172121357624027
Atlanta Hawks,Denver Nuggets,0.7653405658644936
Washington Wizards,Brooklyn Nets,0.8249264467647273
Detroit Pistons,Los Angeles Lakers,0.9202225280325573
Golden State Warriors,Chicago Bulls,0.8349891531532685
Cleveland Cavaliers,Indiana Pacers,0.7152545451498282
Memphis Grizzlies,Phoenix Suns,0.787568582732497
Miami Heat,Milwaukee Bucks,0.7617718795217436
Toronto Raptors,Minnesota Timberwolves,0.8481632143718365
Utah Jazz,New Orleans Pelicans,0.6646306786323127
Los Angeles Clippers,New York Knicks,0.7945598067553936
San Antonio Spurs,Philadelphia 76ers,0.9828882745218172
Boston Celtics,Sacramento Kings,0.7293346157657449
Charlotte Hornets,Houston Rockets,0.6417974098493243
Dallas Mavericks,Utah Jazz,0.5127382824116945
Cleveland Cavaliers,Oklahoma City Thunder,0.5373882117860769
Orlando Magic,Philadelphia 76ers,0.9318420253363829
Boston Celtics,Portland Trail Blazers,0.5609572671330564
Miami Heat,Brooklyn Nets,0.8830546367665151
San Antonio Spurs,Detroit Pistons,0.7755768451406639
Golden State Warriors,Memphis Grizzlies,0.8672040473704102
Milwaukee Bucks,Los Angeles Lakers,0.8231606417162027
Minnesota Timberwolves,New Orleans Pelicans,0.517436552286589
Denver Nuggets,New York Knicks,0.5023022500037994
Chicago Bulls,Phoenix Suns,0.8081654833594353
Atlanta Hawks,Sacramento Kings,0.7172293932711186
Indiana Pacers,Washington Wizards,0.5313083874764356
Los Angeles Clippers,Charlotte Hornets,0.5513223790686554
Cleveland Cavaliers,Denver Nuggets,0.863335321389411
Dallas Mavericks,Orlando Magic,0.617865548627898
Houston Rockets,Phoenix Suns,0.8145585587825113
Indiana Pacers,Milwaukee Bucks,0.7560372443229675
Golden State Warriors,Oklahoma City Thunder,0.6573971603758859
Miami Heat,Philadelphia 76ers,0.955451755351558
Boston Celtics,Utah Jazz,0.6202208534661677
Chicago Bulls,Minnesota Timberwolves,0.7205589115039283
San Antonio Spurs,New York Knicks,0.888579561285151
Sacramento Kings,New Orleans Pelicans,0.6040021027789808
Toronto Raptors,Detroit Pistons,0.6919966215954502
Memphis Grizzlies,Brooklyn Nets,0.788154525311298
Charlotte Hornets,Philadelphia 76ers,0.9697049337961999
Boston Celtics,Dallas Mavericks,0.6296649706431352
Golden State Warriors,Denver Nuggets,0.9028512252113462
San Antonio Spurs,Indiana Pacers,0.7601629816423745
Miami Heat,Orlando Magic,0.7303975779254115
Detroit Pistons,Milwaukee Bucks,0.6969936470388827
New Orleans Pelicans,Phoenix Suns,0.6037520745526657
Atlanta Hawks,Portland Trail Blazers,0.5460090762489884
Los Angeles Clippers,Utah Jazz,0.6616801190277368
Oklahoma City Thunder,Washington Wizards,0.7157334242599178
Toronto Raptors,Chicago Bulls,0.664812247020242
Sacramento Kings,Los Angeles Lakers,0.8012823645741259
Cleveland Cavaliers,Minnesota Timberwolves,0.8823731742635412
Boston Celtics,Philadelphia 76ers,0.9725513096662016
Milwaukee Bucks,Brooklyn Nets,0.6730807069214166
Cleveland Cavaliers,Indiana Pacers,0.7346655713851649
Denver Nuggets,Minnesota Timberwolves,0.6048168435055898
Detroit Pistons,Dallas Mavericks,0.5733465742144883
Golden State Warriors,Sacramento Kings,0.9127182480861759
Miami Heat,Houston Rockets,0.6112123403885998
Los Angeles Clippers,Atlanta Hawks,0.5743863823915462
Memphis Grizzlies,New Orleans Pelicans,0.670466528808139
Oklahoma City Thunder,New York Knicks,0.8653190148484703
San Antonio Spurs,Orlando Magic,0.8557421800710955
Phoenix Suns,Los Angeles Lakers,0.7204956783057498
Toronto Raptors,Charlotte Hornets,0.6183532038241912
Portland Trail Blazers,Utah Jazz,0.5922514040074427
Boston Celtics,Chicago Bulls,0.5764435230130867
Indiana Pacers,Washington Wizards,0.5752096776680298
Cleveland Cavaliers,New York Knicks,0.8827486697507694
Charlotte Hornets,Detroit Pistons,0.5627828473530825
Golden State Warriors,Los Angeles Clippers,0.739754884690457
Houston Rockets,New Orleans Pelicans,0.6585543868966997
Portland Trail Blazers,Orlando Magic,0.6811750111913513
Sacramento Kings,Denver Nuggets,0.5428621065313919
Atlanta Hawks,Miami Heat,0.5250293960353423
Chicago Bulls,Phoenix Suns,0.8462208639002813
Denver Nuggets,Brooklyn Nets,0.7820486718848411
Indiana Pacers,Memphis Grizzlies,0.6316704879049155
San Antonio Spurs,Los Angeles Clippers,0.6603162782251962
Utah Jazz,Milwaukee Bucks,0.6596667991591142
Dallas Mavericks,Minnesota Timberwolves,0.6708509519815093
Oklahoma City Thunder,Los Angeles Lakers,0.9645344975201807
Washington Wizards,Philadelphia 76ers,0.9304756804317555
Toronto Raptors,Boston Celtics,0.5984327565974217
Cleveland Cavaliers,Chicago Bulls,0.7458426670839476
Dallas Mavericks,New Orleans Pelicans,0.7073686418179446
Golden State Warriors,Brooklyn Nets,0.9723104684261852
Houston Rockets,Minnesota Timberwolves,0.7207139752148637
Miami Heat,Indiana Pacers,0.5802095282045093
New York Knicks,Philadelphia 76ers,0.9104701275037824
Atlanta Hawks,Orlando Magic,0.6933637737303154
Charlotte Hornets,Sacramento Kings,0.7125137603189879
Memphis Grizzlies,Denver Nuggets,0.5663556492708031
Boston Celtics,Detroit Pistons,0.5832401707033885
Los Angeles Clippers,Charlotte Hornets,0.5800322738678562
San Antonio Spurs,Los Angeles Lakers,0.9683421539832763
Milwaukee Bucks,Phoenix Suns,0.6834992243226218
Oklahoma City Thunder,New Orleans Pelicans,0.8738062144222448
Toronto Raptors,Portland Trail Blazers,0.6262457779808684
Washington Wizards,Utah Jazz,0.5294845655054347
Boston Celtics,Atlanta Hawks,0.5340413996524535
Cleveland Cavaliers,Milwaukee Bucks,0.8870360443939291
Miami Heat,Dallas Mavericks,0.6105547217749232
Indiana Pacers,Houston Rockets,0.5486642676870714
Toronto Raptors,New York Knicks,0.8247623123088104
Golden State Warriors,Philadelphia 76ers,0.986875783339157
Sacramento Kings,Minnesota Timberwolves,0.6201777940713472
Chicago Bulls,Denver Nuggets,0.7016001044577402
Portland Trail Blazers,Detroit Pistons,0.5545034750471574
Charlotte Hornets,Los Angeles Lakers,0.9193085816633106
Memphis Grizzlies,Phoenix Suns,0.787568582732497
Oklahoma City Thunder,Utah Jazz,0.7508902212693954
Golden State Warriors,Washington Wizards,0.8371272680821531
Atlanta Hawks,Dallas Mavericks,0.6571621926440878
Cleveland Cavaliers,Boston Celtics,0.6446415360060973
Los Angeles Clippers,Houston Rockets,0.7001821072059508
Miami Heat,Philadelphia 76ers,0.970028539383817
Denver Nuggets,Milwaukee Bucks,0.5200976911471638
Detroit Pistons,New Orleans Pelicans,0.7016593228587533
Orlando Magic,New York Knicks,0.6135324495558019
Sacramento Kings,Brooklyn Nets,0.7928797148978346
San Antonio Spurs,Indiana Pacers,0.7883941961505974
Toronto Raptors,Washington Wizards,0.7214502217075949
Utah Jazz,Minnesota Timberwolves,0.7292985281118052
Golden State Warriors,Chicago Bulls,0.814803385627893
Charlotte Hornets,Phoenix Suns,0.8520683693154961
Oklahoma City Thunder,Portland Trail Blazers,0.6692455134009485
Cleveland Cavaliers,Atlanta Hawks,0.657548449301711
Dallas Mavericks,Memphis Grizzlies,0.5641934204003535
Boston Celtics,Los Angeles Lakers,0.9252983958238019
Los Angeles Clippers,Milwaukee Bucks,0.8059425690219839
San Antonio Spurs,New Orleans Pelicans,0.8974979341432779
Miami Heat,Orlando Magic,0.6889568550210163
New York Knicks,Philadelphia 76ers,0.8591416766796609
Oklahoma City Thunder,Phoenix Suns,0.9084012265967554
Utah Jazz,Brooklyn Nets,0.8633191032417266
Toronto Raptors,Washington Wizards,0.6985267188368673
Los Angeles Clippers,Chicago Bulls,0.6197518667608035
Charlotte Hornets,Denver Nuggets,0.7255878211303317
Houston Rockets,Memphis Grizzlies,0.5635130666158575
Cleveland Cavaliers,Miami Heat,0.6650969802253048
Toronto Raptors,Milwaukee Bucks,0.8348195398228637
Detroit Pistons,Philadelphia 76ers,0.9391301220467091
Portland Trail Blazers,Brooklyn Nets,0.8897875788822635
San Antonio Spurs,Minnesota Timberwolves,0.9211847598950252
Atlanta Hawks,Indiana Pacers,0.5883956911700031
Oklahoma City Thunder,Dallas Mavericks,0.7291879411414887
New Orleans Pelicans,Los Angeles Lakers,0.7508585748974321
Golden State Warriors,New York Knicks,0.9125891956827918
Boston Celtics,Phoenix Suns,0.8623018780909658
Utah Jazz,Sacramento Kings,0.6009692669130485
Washington Wizards,Orlando Magic,0.6335807889079005
Golden State Warriors,Atlanta Hawks,0.7602903859444275
Charlotte Hornets,Indiana Pacers,0.5775101688076281
Cleveland Cavaliers,Miami Heat,0.6816334178687355
Denver Nuggets,Sacramento Kings,0.5165714984319782
Detroit Pistons,Chicago Bulls,0.5150751700986808
Los Angeles Clippers,Boston Celtics,0.559536403313779
Memphis Grizzlies,Brooklyn Nets,0.836237969913256
Orlando Magic,New York Knicks,0.6135324495558019
Milwaukee Bucks,Philadelphia 76ers,0.853969902531007
San Antonio Spurs,Houston Rockets,0.8300365589872937
Utah Jazz,New Orleans Pelicans,0.7156392170057053
Dallas Mavericks,Los Angeles Lakers,0.9047094767246281
Oklahoma City Thunder,Portland Trail Blazers,0.6544882877558768
Washington Wizards,Phoenix Suns,0.7827584372692219
Atlanta Hawks,Brooklyn Nets,0.9131475858904893
Washington Wizards,Denver Nuggets,0.6232224343982351
Golden State Warriors,Boston Celtics,0.7729421910922452
Houston Rockets,Utah Jazz,0.5120470736865204
Indiana Pacers,Detroit Pistons,0.5401490394838601
Miami Heat,Charlotte Hornets,0.5172400571444088
Milwaukee Bucks,New York Knicks,0.5237356035928035
Los Angeles Clippers,Minnesota Timberwolves,0.8211191447136479
Toronto Raptors,New Orleans Pelicans,0.8378566806804151
Chicago Bulls,Orlando Magic,0.6177418172255619
San Antonio Spurs,Sacramento Kings,0.8908339758410101
Cleveland Cavaliers,Detroit Pistons,0.7325390946794952
Los Angeles Clippers,Memphis Grizzlies,0.7075318555759367
San Antonio Spurs,Oklahoma City Thunder,0.5944428885344922
Phoenix Suns,Los Angeles Lakers,0.7204956783057498
Portland Trail Blazers,Philadelphia 76ers,0.9625532480900649
Toronto Raptors,Atlanta Hawks,0.5884489807847453
Chicago Bulls,Houston Rockets,0.5746121358903231
Charlotte Hornets,Orlando Magic,0.7282115793813974
Dallas Mavericks,Brooklyn Nets,0.8584944564542413
Boston Celtics,Denver Nuggets,0.7419207891760884
Indiana Pacers,Milwaukee Bucks,0.7120338636614958
Golden State Warriors,Minnesota Timberwolves,0.9253237716392246
Washington Wizards,Sacramento Kings,0.6079067687327473
Charlotte Hornets,New Orleans Pelicans,0.800226033673103
Dallas Mavericks,Phoenix Suns,0.8149760883167249
Detroit Pistons,New York Knicks,0.7315456134991611
Los Angeles Clippers,Philadelphia 76ers,0.9765921615213186
Atlanta Hawks,Memphis Grizzlies,0.6553483341178468
Toronto Raptors,Miami Heat,0.5965861846936205
Milwaukee Bucks,Minnesota Timberwolves,0.5592203713211941
Oklahoma City Thunder,Utah Jazz,0.7508902212693954
Cleveland Cavaliers,Orlando Magic,0.8246010519219276
Portland Trail Blazers,Washington Wizards,0.5763187419990567
Sacramento Kings,Denver Nuggets,0.5428621065313919
Golden State Warriors,San Antonio Spurs,0.5489270075992725
Boston Celtics,Chicago Bulls,0.6159267843266695
New York Knicks,Brooklyn Nets,0.6822753016197496
Cleveland Cavaliers,Houston Rockets,0.7694131840054421
Miami Heat,Indiana Pacers,0.5420140085601108
Los Angeles Lakers,Philadelphia 76ers,0.7261354017572699
Portland Trail Blazers,Phoenix Suns,0.8477854199844803
Charlotte Hornets,Chicago Bulls,0.5916275049674333
Denver Nuggets,Los Angeles Lakers,0.8488342966243159
Memphis Grizzlies,Milwaukee Bucks,0.6631897234065263
Washington Wizards,Minnesota Timberwolves,0.6880280135530488
